substrate,system,score,year,venue_or_source,category,key_evidence
S2_Skills,SAGE,5,2025,arXiv:2512.17102,Research,"+8.9% SGC; 26% fewer steps; 59% fewer tokens AppWorld"
S2_Skills,Microsoft Semantic Kernel Plugins,2,2024,learn.microsoft.com,Production,"Native code + OpenAPI + MCP; no self-mod"
S2_Skills,CrewAI Skills,2,2025,docs.crewai.com,Production,"discover/activate two-stage; 50k char cap"
S2_Skills,LangChain Skills,2,2025,langchain.com,Production,"29% → 95% pass on internal LangSmith eval"
S2_Skills,HuggingFace Agent Skills,2,2025,huggingface.co,Production,"Mention-triggered load; PR contrib"
S2_Skills,OpenAI Custom GPTs / Actions,2,2023,platform.openai.com,Production,"OpenAPI spec + manifest; eager load"
S2_Skills,ChatGPT Plugins (legacy),1,2023,openai.com,Production-Deprecated,"All plugins loaded at session start"
S2_Skills,MetaGPT (SOP-as-skill),3,2023,arXiv:2308.00352,Research,"+4.2% HumanEval, +5.4% MBPP"
S2_Skills,SuperAGI Toolkits,1,2024,github.com/TransformerOptimus,Open-Source,"Static Python tool classes"
S2_Skills,AgentVerse,1,2023,arXiv:2308.10848,Research,"Fixed roles; no skill library"
S2_Skills,COSPLAY,5,2026,arXiv:2604.20987,Research,"Boundary proposal + segmentation; skill-bank+contracts coevolve"
S3_Memory,Reflexion,4,2023,arXiv:2303.11366,Research,"+8% absolute from self-reflection over episodic-only"
S3_Memory,MemGPT / Letta,3,2023,arXiv:2310.08560,Research,"Hierarchical paging; cross-session"
S3_Memory,Generative Agents,3,2023,arXiv:2304.03442,Research,"Reflection synthesis; importance scoring"
S3_Memory,A-MEM,3,2025,NeurIPS 2025,Research,"Atomic notes + linking; cross-session"
S3_Memory,Mem0,3,2025,arXiv,Production-OSS,"93.4% LongMemEval; 6787 tokens/query"
S3_Memory,Zep / Graphiti,3,2025,arXiv,Production,"94.8% DMR; +18.5% LongMemEval"
S3_Memory,LangGraph Long-Term Memory,3,2024,langchain.com,Production,"Store API; semantic search"
S3_Memory,LangChain Primitives (legacy),1,2023,langchain.com,Production-Legacy,"Within-session only"
S3_Memory,Voyager Skill Library,4,2023,arXiv:2305.16291,Research,"Procedural failure memory via env exec"
S3_Memory,ChatGPT Memory,3,2024,openai.com,Production,"User-scoped; partial governance"
S3_Memory,Claude Memory,3,2025,anthropic.com,Production,"User-scoped explicit memory"
S3_Memory,Gemini Code Assist Memory,4,2025,cloud.google.com,Production,"PR-rejection patterns captured"
S3_Memory,Cognee,3,2024,github.com/topoteretes/cognee,Open-Source,"Graph-based memory pipeline"
S3_Memory,HippoRAG,2,2024,arXiv,Research,"Document RAG not agent experience"
S3_Memory,MIRIX,3,2025,arXiv,Research,"85.4% LoCoMo (SOTA public)"
S3_Memory,SOAR Cognitive Architecture,4,classical,Newell/Laird,Classical-AI,"Chunking from impasses (failure memory)"
S3_Memory,Governed Collaborative Memory / SSGM,5,2026,arXiv:2605.04264,Research,"Only framework with provenance+versioning+correction"
S3_Memory,NanoResearch Memory Module,3,2026,arXiv:2605.10813,Research,"Tri-level co-evolution"
S3_Memory,MemoryBank,3,2023,Zhong et al.,Research,"Ebbinghaus-curve forgetting"
S4_Tools,Model Context Protocol (MCP),5,2024,modelcontextprotocol.io,Open-Standard,"9400+ servers; 78% enterprise; 7.8x YoY"
S4_Tools,OpenAI Function Calling,3,2023,platform.openai.com,Production,"BFCL ~72% leading models"
S4_Tools,Anthropic Tool Use API,4,2024,docs.anthropic.com,Production,"Tool Search Tool + defer_loading"
S4_Tools,Gemini Function Calling,3,2024,ai.google.dev,Production,"Native Google Search + code exec"
S4_Tools,LangChain Tools Abstraction,3,2023,langchain.com,Production,"65M+ downloads/mo"
S4_Tools,LlamaIndex Tool Ecosystem,4,2023,llamaindex.ai,Production,"ToolSpec = domain bundle; on-demand"
S4_Tools,Toolformer,2,2023,arXiv:2302.04761,Research,"Fixed 5 tools; self-supervised"
S4_Tools,ToolLLM / ToolBench,3,2023,arXiv:2307.16789,Research,"3451 tools; 49 categories; retrieval-based"
S4_Tools,Harvey (Legal Vertical),5,2024,harvey.ai,Production-Vertical,"400K queries/day; 18k workflows; 200+ legal sources"
S4_Tools,Hippocratic AI,5,2024,hippocraticai.com,Production-Vertical,"$3.5B val; 30% readmission reduction"
S4_Tools,Sierra,4,2024,sierra.ai,Production-Vertical,"Ghostwriter builds from SOPs+transcripts"
S4_Tools,Cursor MCP Integration,4,2024,docs.cursor.com,Production,"4.3x faster integration vs native FC"
S4_Tools,Claude Code Tool API,4,2024,docs.anthropic.com,Production,"Programmatic tool calling"
S4_Tools,OpenAI Assistants API,3,2023,platform.openai.com,Production,"code_interpreter + file_search"
S4_Tools,GPT Actions,3,2023,platform.openai.com,Production,"OpenAPI spec → action bundle"
S4_Tools,Code Interpreter,3,2023,openai.com,Production,"Sandboxed Python REPL"
S4_Tools,Browser Tools (Playwright/Computer Use),3,2024,anthropic.com,Production,"DOM/screenshot + tool_use"
S4_Tools,Devin / SWE-agent Tool Harness,4,2024,cognition.ai,Production-Research,"13.86% SWE-bench (Devin SOTA)"
S4_Tools,LangGraph Tool Nodes,4,2024,langchain.com,Production,"Conditional edges; parallel exec"
S5_Orchestration,AutoGen / MagenticOne,3,2024,arXiv:2308.08155,Research-Prod,"Progress Ledger replanning"
S5_Orchestration,CrewAI,3,2025,docs.crewai.com,Production,"Task Guardrails output validation"
S5_Orchestration,LangGraph,3,2024,langchain.com,Production,"State machine + supervisor"
S5_Orchestration,LlamaIndex Workflows,2,2024,llamaindex.ai,Production,"Event-driven async + HITL"
S5_Orchestration,MetaGPT,2,2023,arXiv:2308.00352,Research,"Waterfall SOP"
S5_Orchestration,OpenAI Swarm,1,2024,openai.com,Deprecated,"Educational handoff"
S5_Orchestration,OpenAI AgentKit,4,2025,openai.com,Production,"RFT + automated prompt optimization"
S5_Orchestration,Microsoft Semantic Kernel,2,2024,learn.microsoft.com,Prerelease,"5 patterns; no feedback yet"
S5_Orchestration,AWS Bedrock Multi-Agent,2,2024,aws.amazon.com,Production,"Hierarchical supervisor"
S5_Orchestration,Vertex AI Agent Builder,4,2024,cloud.google.com,Production,"Fine-tune on real usage + Example Store"
S5_Orchestration,ChatDev,2,2023,arXiv:2307.07924,Research,"+15.6% absolute ProgramDev"
S5_Orchestration,CAMEL,1,2023,arXiv,Research,"Role-play pairs"
S5_Orchestration,AgentVerse,2,2023,arXiv:2308.10848,Research,"Dynamic recruitment"
S5_Orchestration,OpenHands / CodeAct,3,2024,arXiv:2407.16741,Research-Prod,"Event-stream delegation"
S5_Orchestration,Pydantic AI,2,2024,pydantic.dev,Production,"5-level delegation"
S5_Orchestration,Letta,3,2025,letta.com,Production,"Stateful memory + dream-agent"
S5_Orchestration,Inspect AI,2,2024,ukgovernmentbeis.github.io,Research-Prod,"Solver pipeline + eval"
S5_Orchestration,Multi-Agent Evolve (MAE),5,2025,arXiv,Research,"RL co-evolution Proposer/Solver/Judge"
S5_Orchestration,Memento-Skills,5,2026,arXiv,Research,"RW Reflective Learning + unit-test gate"
S6_Governance,Braintrust,5,2024,braintrust.dev,Production,"CI/CD gate + immutable IDs + 3 envs"
S6_Governance,Vellum,5,2024,vellum.ai,Production,"Protected Release Tags + RBAC"
S6_Governance,LangSmith Hub,5,2024,smith.langchain.com,Production,"Immutable commits + webhook CI/CD"
S6_Governance,AGENTS.md / AAIF,5,2025,agents.md,Open-Standard,"Linux Foundation governance since Dec 2025"
S6_Governance,Anthropic skills repo,4,2025,github.com/anthropics/skills,Open-Source,"956+ PRs; maintainer review; no auto eval gate"
S6_Governance,GitHub Copilot enterprise,4,2026,github.com,Production,"Org-level UI setting GA Apr 2026"
S6_Governance,Cursor Rules,3,2024,cursor.com,Production,"PR review convention"
S6_Governance,DSPy compile,3,2024,dspy.ai,Research-OSS,"Eval-driven optimization; no built-in gate"
S6_Governance,TextGrad,2,2024,arXiv,Research,"Eval loop only; no persistence"
S6_Governance,OPRO,2,2023,arXiv,Research,"Eval gates next opt; no promotion"
S6_Governance,NanoResearch,2,2026,arXiv:2605.10813,Research,"Append-merge skill bank; no version IDs"
S6_Governance,LangFuse,3,2024,langfuse.com,Production,"Numeric versions + labels (RBAC)"
S6_Governance,Agenta,3,2024,agenta.ai,Production,"Git-like branching + envs"
S6_Governance,W&B Weave (Prompts),3,2024,weave-docs.wandb.ai,Production,"Auto-versioned content-hashed"
S6_Governance,OpenAI AgentKit Evals,3,2025,openai.com,Production,"Visual workflow versioning"
S6_Governance,Constitutional AI,2,2022,Anthropic,Research-Internal,"Internal governance only"
S6_Governance,Inspect AI,3,2024,ukgovernmentbeis.github.io,Research-Prod,"CI-like reproducible evals"
S6_Governance,Self-Refine,1,2023,Madaan et al.,Research,"Test-time only; no persistence"
S6_Governance,Cleric.ai,2,2025,cleric.ai,Production,"Dynamic operational memory"
S6_Governance,Sierra Ghostwriter,2,2026,sierra.ai,Production,"Sandbox-validated self-modification"
S6_Governance,Decagon,2,2026,decagon.ai,Production,"Versioned AOP templates + guardrails"
INTEGRATED,NanoResearch,5,2026,arXiv:2605.10813,Research,"DEEP all 6; compliance 6.66→8.96 across 3 rounds"
INTEGRATED,AutoAgent,5,2026,arXiv:2603.09716,Research,"DEEP dual-cycle Execution+Evolution; HotpotQA 0.530 vs IRCoT 0.434"
INTEGRATED,CASCADE,4.5,2025,arXiv:2512.23880,Research,"93.3% vs 35.4% SciSkillBench (with/without evolution)"
INTEGRATED,Agent S / S2,4.5,2024,arXiv:2410.08164 / 2504.00906,Research,"DEEP integration all 6"
INTEGRATED,Mobile-Agent-E,4.5,2025,arXiv:2501.11733,Research,"DEEP integration; mobile env"
INTEGRATED,EvolveR,4,2025,arXiv:2510.16079,Research,"DEEP co-evolution"
INTEGRATED,Voyager,4,2023,arXiv:2305.16291,Research,"MEDIUM-DEEP; 5/6 substrates"
INTEGRATED,Generative Agents,4,2023,arXiv:2304.03442,Research,"MEDIUM-DEEP"
INTEGRATED,OS-Copilot / FRIDAY,4,2024,arXiv:2402.07456,Research,"DEEP 5/6"
INTEGRATED,Cradle,4,2024,arXiv:2403.03186,Research,"MEDIUM all 6 substrates"
INTEGRATED,SAGE,4,2025,arXiv:2512.17102,Research,"MEDIUM"
INTEGRATED,ExpeL,3.5,2023,arXiv:2308.10144,Research,"MEDIUM"
INTEGRATED,Agent Workflow Memory (AWM),3.5,2024,arXiv:2409.07429,Research,"MEDIUM"
INTEGRATED,MetaGPT,3.5,2023,arXiv:2308.00352,Research,"MEDIUM"
INTEGRATED,AutoManual,3.5,2024,NeurIPS 2024,Research,"MEDIUM"
INTEGRATED,JARVIS-1,3.5,2023,arXiv:2311.05997,Research,"MEDIUM"
INTEGRATED,CoEvoSkills,3.5,2026,arXiv:2604.01687,Research,"MEDIUM"
INTEGRATED,ChatDev,3,2023,arXiv:2307.07924,Research,"SHALLOW-MED"
INTEGRATED,Sierra Agent OS,4,2024,sierra.ai,Production,"MEDIUM-DEEP; only production all 6"
INTEGRATED,Hippocratic AI Polaris,3.5,2024,hippocraticai.com,Production,"MEDIUM"
INTEGRATED,GITM,3,2023,arXiv:2305.17144,Research,"MEDIUM"
INTEGRATED,OpenHands / CodeAct,3,2024,arXiv:2407.16741,Research-Prod,"SHALLOW-MED"
INTEGRATED,Sakana AI Scientist,3,2024,arXiv:2408.06292,Research,"SHALLOW-MED"
INTEGRATED,CaptainAgent,2.5,2024,arXiv:2405.19425,Research,"SHALLOW"
INTEGRATED,Plan4MC,2.5,2023,GitHub/arXiv,Research,"SHALLOW"
INTEGRATED,OpenCore,4,2025,github.com/sibmike/opencore,Open-Source,"4-layer fork (CORE/STACK/PROJECT/USER); 10 practices + dream→delta→PR; PR-gated promotion; explicit two-loop README; MIT; multi-tool agnostic"
INTEGRATED,SkillRL,5,2026,arXiv:2602.08234,Research,"Recursive skill-augmented RL; teacher distillation; SR<0.4 auto gate per category; +15.3% over baselines"
INTEGRATED,AlphaEvolve,4,2025,arXiv:2506.13131,Production-Research,"Gemini ensemble + cascade evaluator; MAP-Elites archive; Borg +0.7% worldwide compute; Gemini kernel +23%; FlashAttention +32.5%; Strassen-beating 4×4 complex matmul at 48 mult"
INTEGRATED,Darwin Gödel Machine,4,2025,arXiv:2505.22954,Research,"Recursive self-modifying code + growing archive; SWE-bench 20%→50%; Polyglot 14.2%→30.7%; human sandbox oversight"
INTEGRATED,ADAS / Meta Agent Search,4,2024,arXiv:2408.08435,Research,"Meta agent writes new agent code in Python; ever-growing archive; cross-domain transfer"
INTEGRATED,SkillForge,4,2026,arXiv:2604.08618,Production,"Alibaba Cloud tech support; LLM-judge >90% human-agreement + VFS version commits + human review; SkillsBench 86 tasks 11 domains"
INTEGRATED,Sierra Agent OS 2.0,3,2025,sierra.ai/blog/agent-os-2-0,Production,"Insights 2.0 + Expert Answers + ADP unified data; GitHub-style Workspaces; hybrid AI+human gate"
INTEGRATED,Cognition Devin,3,2024,cognition.ai,Production,"Dynamic re-planning + persisted tools/scripts; 67% PR merge rate; human gate"
INTEGRATED,SkillOS,3,2026,SemanticScholar:2653e4c7,Research,"Learned skill curator over streaming task experience; cross-domain skill generalization"
